,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__base_estimator__max_depth,param_base_estimator__base_estimator__max_features,param_base_estimator__n_estimators,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc
10,142.56673731803895,2.6948552888086397,15.930622148513795,0.7990699678855947,30,0.8,10,300,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 10, 'n_estimators': 300}",0.11764705882352941,0.06779661016949154,0.22535211267605632,0.07058823529411765,0.058823529411764705,0.10804150927499193,0.06212705277118271,25,0.7806698714190801,0.7900649883590439,0.868099872144895,0.8092600036849069,0.8100977107761027,0.8116384892768057,0.03039865188241933,31
11,235.4704421520233,2.6598531719712497,28.162328577041627,1.1083343811085682,30,0.8,10,500,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 10, 'n_estimators': 500}",0.1095890410958904,0.07272727272727272,0.23188405797101447,0.04819277108433735,0.06,0.10447862857570298,0.06695200446178964,31,0.7843170918267648,0.7909108420012394,0.8677969839594883,0.8079898274235242,0.8096105527638191,0.8121250595949672,0.029482578420741985,25
12,118.09051232337951,0.9700119021510955,14.473522043228149,0.6654585682990664,30,0.8,25,250,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 25, 'n_estimators': 250}",0.10810810810810811,0.09836065573770493,0.23188405797101447,0.07792207792207792,0.038834951456310676,0.11102197023904321,0.06493537137875457,19,0.7821368552110726,0.7883537399014008,0.871783383302905,0.810133773288891,0.8122445561139029,0.8129304615636345,0.03169927370997702,19
13,142.28975563049318,0.6245026644873957,17.855978059768677,0.3851979972609214,30,0.8,25,300,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 25, 'n_estimators': 300}",0.11764705882352941,0.06779661016949154,0.22535211267605632,0.07058823529411765,0.058823529411764705,0.10804150927499193,0.06212705277118271,25,0.7806698714190801,0.7900649883590439,0.868099872144895,0.8092600036849069,0.8100977107761027,0.8116384892768057,0.03039865188241933,31
14,240.44605264663696,3.0408104597319014,27.338931226730345,1.0688507166363914,30,0.8,25,500,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 25, 'n_estimators': 500}",0.1095890410958904,0.07272727272727272,0.23188405797101447,0.04819277108433735,0.06,0.10447862857570298,0.06695200446178964,31,0.7843170918267648,0.7909108420012394,0.8677969839594883,0.8079898274235242,0.8096105527638191,0.8121250595949672,0.029482578420741985,25
15,119.00960183143616,3.249878347219246,14.557489442825318,0.974841158549598,30,0.8,50,250,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 50, 'n_estimators': 250}",0.10810810810810811,0.09836065573770493,0.23188405797101447,0.07792207792207792,0.038834951456310676,0.11102197023904321,0.06493537137875457,19,0.7821368552110726,0.7883537399014008,0.871783383302905,0.810133773288891,0.8122445561139029,0.8129304615636345,0.03169927370997702,19
16,142.83773317337037,0.8016105306243833,17.3561363697052,0.27225705560331825,30,0.8,50,300,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 50, 'n_estimators': 300}",0.11764705882352941,0.06779661016949154,0.22535211267605632,0.07058823529411765,0.058823529411764705,0.10804150927499193,0.06212705277118271,25,0.7806698714190801,0.7900649883590439,0.868099872144895,0.8092600036849069,0.8100977107761027,0.8116384892768057,0.03039865188241933,31
17,239.48457732200623,3.177206779240979,28.698398637771607,1.0001698770496525,30,0.8,50,500,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 50, 'n_estimators': 500}",0.1095890410958904,0.07272727272727272,0.23188405797101447,0.04819277108433735,0.06,0.10447862857570298,0.06695200446178964,31,0.7843170918267648,0.7909108420012394,0.8677969839594883,0.8079898274235242,0.8096105527638191,0.8121250595949672,0.029482578420741985,25
18,120.1598774433136,2.9583505445483276,13.94407057762146,0.7779351801503653,50,0.5,10,250,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 10, 'n_estimators': 250}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06896551724137932,0.0967741935483871,0.13358811822838149,0.04561367151281309,1,0.7867360099157497,0.7937415205266068,0.9042901250076769,0.8369889285295546,0.8154369067560021,0.827438698147118,0.042269611581621055,1
19,142.2271619796753,1.2309626317114883,18.071605587005614,0.3815528530952837,50,0.5,10,300,"{'base_estimator__base_estimator__max_depth': 50, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 10, 'n_estimators': 300}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06666666666666667,0.06666666666666667,0.12710684273709486,0.052189302034054086,7,0.7885686928071732,0.7970272292291287,0.9004921584063336,0.83483939947183,0.8152303182579564,0.8272315596344845,0.039940313470278495,7
